[Sunday/June 29/06/2025 20:41:32] C:\Users\gal\Downloads\Tehran.S03\Tehran (2020) - S03E03 - Lions Den [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2606.6 | time=25.92
[Sunday/June 29/06/2025 20:41:51] C:\Users\gal\Downloads\Tehran.S03\Tehran (2020) - S03E03 - Lions Den [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2606.6 | time=540.4
[Sunday/June 29/06/2025 21:05:01] C:\Users\gal\Downloads\Tehran.S03\Tehran (2020) - S03E02 - Punch in the Face [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2511.44 | time=2458.68
[Sunday/June 29/06/2025 21:07:07] C:\Users\gal\Downloads\Tehran.S03\Tehran (2020) - S03E02 - Punch in the Face [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2511.44 | time=2495.32
[Sunday/June 29/06/2025 21:48:31] Tehran (2020) - S03E03 - Lions Den [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2606.6 | time=2553.64
[Monday/June 30/06/2025 12:12:27] Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=2011.2
[Monday/June 30/06/2025 20:18:14] C:\Users\gal\Desktop\download (1).mp4 | length=8 | time=6.5416666666667
[Monday/June 30/06/2025 20:18:37] C:\Users\gal\Desktop\download.mp4 | length=8 | time=7.9583333333333
[Monday/June 30/06/2025 20:26:30] C:\Users\gal\Downloads\Tehran.S03\Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=24.44
[Monday/June 30/06/2025 20:34:53] C:\Users\gal\Desktop\download.mp4 | length=8 | time=1.4166666666667
[Monday/June 30/06/2025 20:35:05] C:\Users\gal\Desktop\download (1).mp4 | length=8 | time=1.0833333333333
[Monday/June 30/06/2025 20:35:24] C:\Users\gal\Desktop\download (2).mp4 | length=8 | time=7.9583333333333
[Tuesday/July 01/07/2025 14:27:29] Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=1995.96
[Wednesday/July 02/07/2025 13:08:33] Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=2261.88
[Wednesday/July 02/07/2025 20:15:33] C:\Users\gal\Pictures\Camera Roll\WIN_20250622_11_35_29_Pro.mp4 | length=4.6573333333333 | time=4.4479666666667
[Wednesday/July 02/07/2025 20:18:32] C:\output\ltxv\000_00066.mp4 | length=4.0416666666667 | time=4
[Wednesday/July 02/07/2025 20:18:53] C:\output\KKW-LTX096Distil_00008.mp4 | length=4.84 | time=0.96
[Wednesday/July 02/07/2025 20:18:59] C:\output\KKW-LTX096Distil_00009.mp4 | length=4.84 | time=3.6
[Wednesday/July 02/07/2025 20:19:03] C:\output\KKW-LTX096Distil_00007.mp4 | length=4.84 | time=0.64
[Wednesday/July 02/07/2025 20:19:17] C:\output\KKW-LTX096Distil_00100.mp4 | length=4.52 | time=2.72
[Wednesday/July 02/07/2025 20:19:25] C:\output\KKW-LTX096Distil_00160.mp4 | length=4.84 | time=4.76
[Wednesday/July 02/07/2025 20:19:32] C:\output\KKW-LTX096Distil_00163.mp4 | length=4.84 | time=4.44
[Wednesday/July 02/07/2025 20:19:37] C:\output\KKW-LTX096Distil_00175.mp4 | length=4.52 | time=1.92
[Wednesday/July 02/07/2025 20:19:44] C:\output\KKW-LTX096Distil_00178.mp4 | length=4.52 | time=4.48
[Wednesday/July 02/07/2025 20:19:48] C:\output\KKW-LTX096Distil_00178.mp4 | length=4.52 | time=2.32
[Wednesday/July 02/07/2025 20:20:04] C:\output\ltxv_00013.mp4 | length=5.375 | time=2.25
[Wednesday/July 02/07/2025 20:20:14] C:\output\ltxv_00045.mp4 | length=4.0416666666667 | time=4
[Wednesday/July 02/07/2025 20:20:21] C:\output\ltxv_00033.mp4 | length=3.88 | time=3.84
[Wednesday/July 02/07/2025 20:20:31] C:\output\ltxv_00148.mp4 | length=4.0416666666667 | time=3.75
[Wednesday/July 02/07/2025 20:20:34] C:\output\ltxv_00145.mp4 | length=4.0416666666667 | time=1.2083333333333
[Wednesday/July 02/07/2025 20:20:37] C:\output\ltxv_00144.mp4 | length=4.0416666666667 | time=1.1666666666667
[Wednesday/July 02/07/2025 20:20:42] C:\output\ltxv_00146.mp4 | length=5.375 | time=3.7916666666667
[Wednesday/July 02/07/2025 20:20:47] C:\output\ltxv_00178.mp4 | length=4.0416666666667 | time=1.4166666666667
[Wednesday/July 02/07/2025 20:20:53] C:\output\ltxv_00180.mp4 | length=4.0416666666667 | time=3.9166666666667
[Wednesday/July 02/07/2025 20:20:56] C:\output\ltxv_00179.mp4 | length=4.0416666666667 | time=2.2083333333333
[Wednesday/July 02/07/2025 20:21:02] C:\output\ltxv_00182.mp4 | length=4.0416666666667 | time=2.8333333333333
[Wednesday/July 02/07/2025 20:22:56] C:\Users\gal\Desktop\download (2).mp4 | length=8 | time=0.70833333333333
[Thursday/July 03/07/2025 09:50:52] ./Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=2597.4
[Thursday/July 03/07/2025 22:22:58] ./Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=2600.08
[Thursday/July 03/07/2025 22:38:44] ./Tehran (2020) - S03E04 - Into the Fire [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2680.88 | time=2612.16
[Thursday/July 03/07/2025 22:38:54] ./Tehran (2020) - S03E01 - Radioactive World [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2936.08 | time=7.08
[Thursday/July 03/07/2025 22:39:02] Tehran (2020) - S03E05 - Unfinished Business [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2101.16 | time=33.2
[Thursday/July 03/07/2025 22:39:07] ./Tehran (2020) - S03E05 - Unfinished Business [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2101.16 | time=37.64
[Thursday/July 03/07/2025 22:39:12] ./Tehran (2020) - S03E01 - Radioactive World [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2936.08 | time=1.08
[Friday/July 04/07/2025 10:09:54] Tehran (2020) - S03E05 - Unfinished Business [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2101.16 | time=1632.88
